datetime,hour,solar irradiance,temperature,wind speed,humidity,solar power
25-09-2023,0,0,17.67,2.52,11.29,0
25-09-2023,1,0,17.27,2.49,11.11,0
25-09-2023,2,0,16.85,2.5,10.93,0
25-09-2023,3,0,16.48,2.53,10.86,0
25-09-2023,4,0,16.07,2.6,10.8,0
25-09-2023,5,0.59,23.51,2.56,18.25,0.59
25-09-2023,6,2.1,24.23,3.47,18.74,2.1
25-09-2023,7,87,25.23,3.68,19.47,87
25-09-2023,8,221.4,26.73,3.58,20.26,221.4
25-09-2023,9,149.7,27.73,3.24,20.45,149.7
25-09-2023,10,583.8,28.1,2.84,20.51,583.8
25-09-2023,11,535,28.14,2.8,20.45,535
25-09-2023,12,810,28.01,2.8,20.39,810
25-09-2023,13,645,27.75,2.81,20.39,645
25-09-2023,14,541,27.47,2.69,20.57,541
25-09-2023,15,245,27.12,2.47,20.75,245
25-09-2023,16,144,26.67,2.13,20.87,144
25-09-2023,17,87,25.79,1.62,20.69,87
25-09-2023,18,5.3,25.27,1.62,20.2,5.3
25-09-2023,19,2.11,25.04,1.66,19.96,2.11
25-09-2023,20,0,24.8,1.67,19.71,0
25-09-2023,21,0,24.56,1.62,19.47,0
25-09-2023,22,0,24.32,1.61,19.23,0
25-09-2023,23,0,24.11,1.68,18.98,0
26-09-2023,0,0,23.87,1.77,18.8,0
26-09-2023,1,0,23.65,1.76,18.62,0
26-09-2023,2,0,23.5,1.74,18.43,0
26-09-2023,3,0,23.31,1.77,18.25,0
26-09-2023,4,0,23.15,1.85,18.13,0
26-09-2023,5,0.3,23.13,2,18.01,0.3
26-09-2023,6,4.1,24.02,2.88,18.68,4.1
26-09-2023,7,127.1,25.23,3.04,19.47,127.1
26-09-2023,8,298.8,26.85,2.72,19.96,298.8
26-09-2023,9,490.2,27.98,2.24,20.2,490.2
26-09-2023,10,173.2,28.87,1.47,20.32,173.2
26-09-2023,11,111.5,29.44,0.95,20.2,111.5
26-09-2023,12,624.3,29.76,0.84,20.14,624.3
26-09-2023,13,1129.6,29.94,0.99,20.08,1129.6
26-09-2023,14,712.2,29.82,1.32,20.08,712.2
26-09-2023,15,346.7,29.33,1.43,20.57,346.7
26-09-2023,16,248.6,28.73,1.53,20.57,248.6
26-09-2023,17,122.3,27.58,1.42,21.06,122.3
26-09-2023,18,9.7,26.59,1.54,20.81,9.7
26-09-2023,19,1.3,26.02,1.62,20.51,1.3
26-09-2023,20,0,25.64,1.48,20.26,0
26-09-2023,21,0,25.32,1.26,19.96,0
26-09-2023,22,0,25.16,0.92,19.65,0
26-09-2023,23,0,25.16,0.45,19.35,0
27-09-2023,0,0,24.94,0.36,19.23,0
27-09-2023,1,0,24.73,0.32,19.04,0
27-09-2023,2,0,24.51,0.71,18.98,0
27-09-2023,3,0,24.37,0.79,18.86,0
27-09-2023,4,0,24.28,0.69,18.8,0
27-09-2023,5,0.4,24.02,0.81,18.62,0.4
27-09-2023,6,6.4,24.59,0.88,19.23,6.4
27-09-2023,7,121.4,25.83,0.71,19.65,121.4
27-09-2023,8,364.8,27.05,0.57,19.47,364.8
27-09-2023,9,303,28,1,19.47,303
27-09-2023,10,828.6,28.62,1.22,19.65,828.6
27-09-2023,11,256.3,28.98,1.35,19.59,256.3
27-09-2023,12,1037.3,29.2,1.42,19.71,1037.3
27-09-2023,13,959.3,29.08,1.4,19.84,959.3
27-09-2023,14,837.6,28.93,1.29,20.02,837.6
27-09-2023,15,610.2,28.86,1.12,20.39,610.2
27-09-2023,16,347.3,28.59,1.04,19.9,347.3
27-09-2023,17,152.3,27.98,0.75,20.2,152.3
27-09-2023,18,3,27.75,0.54,19.41,3
27-09-2023,19,0,27.39,0.65,19.35,0
27-09-2023,20,0,26.83,0.86,19.29,0
27-09-2023,21,0,26.3,1.06,19.23,0
27-09-2023,22,0,25.64,1.29,19.17,0
27-09-2023,23,0,25.1,1.47,18.98,0
28-09-2023,0,0,24.66,1.56,18.86,0
28-09-2023,1,0,24.34,1.61,18.68,0
28-09-2023,2,0,24.1,1.65,18.49,0
28-09-2023,3,0,23.88,1.67,18.37,0
28-09-2023,4,0,23.83,1.62,18.31,0
28-09-2023,5,0.5,23.78,1.6,18.37,0.5
28-09-2023,6,3,24.73,2.02,19.1,3
28-09-2023,7,90.5,25.83,2.62,19.59,90.5
28-09-2023,8,394.9,27.85,1.77,20.14,394.9
28-09-2023,9,576.9,29.3,1.29,20.26,576.9
28-09-2023,10,600.1,30.15,1.31,20.57,600.1
28-09-2023,11,864.4,30.65,1.45,20.69,864.4
28-09-2023,12,962.5,30.78,1.67,20.75,962.5
28-09-2023,13,959.3,30.5,1.9,20.57,959.3
28-09-2023,14,837.8,30.07,1.89,20.69,837.8
28-09-2023,15,117.6,29.8,1.58,21.24,117.6
28-09-2023,16,61.8,29.29,1.49,20.45,61.8
28-09-2023,17,45.2,28.23,1.2,21.55,45.2
28-09-2023,18,1.3,27.6,1.28,21.36,1.3
28-09-2023,19,0.4,27.18,1.4,21.12,0.4
28-09-2023,20,0,26.8,1.45,20.94,0
28-09-2023,21,0,26.51,1.39,20.63,0
28-09-2023,22,0,26.26,1.19,20.26,0
28-09-2023,23,0,26.19,0.82,19.78,0
29-09-2023,0,0,26.08,0.49,19.47,0
29-09-2023,1,0,25.87,0.43,19.35,0
29-09-2023,2,0,25.52,0.6,19.41,0
29-09-2023,3,0,25.11,0.86,19.29,0
29-09-2023,4,0,24.73,1.12,19.17,0
29-09-2023,5,0.3,24.51,1.22,19.04,0.3
29-09-2023,6,1.7,25.17,1.18,19.71,1.7
29-09-2023,7,55.9,26.57,1.46,20.14,55.9
29-09-2023,8,309.6,27.95,1.56,20.57,309.6
29-09-2023,9,399,28.86,1.79,20.26,399
29-09-2023,10,529.5,29.34,1.83,20.14,529.5
29-09-2023,11,1001.2,29.72,1.74,20.08,1001.2
29-09-2023,12,1014.6,29.87,1.61,20.02,1014.6
29-09-2023,13,999,29.91,1.48,19.96,999
29-09-2023,14,892.6,29.84,1.28,19.9,892.6
29-09-2023,15,656.9,29.59,0.97,20.51,656.9
29-09-2023,16,97.7,29.05,0.97,19.78,97.7
29-09-2023,17,64.5,28.04,0.94,20.75,64.5
29-09-2023,18,4,27.41,1.16,20.51,4
29-09-2023,19,0.7,26.8,1.45,20.39,0.7
29-09-2023,20,0,26.33,1.62,20.14,0
29-09-2023,21,0,25.92,1.72,19.96,0
29-09-2023,22,0,25.55,1.74,19.71,0
29-09-2023,23,0,25.19,1.7,19.53,0
30-09-2023,0,0,24.94,1.59,19.35,0
30-09-2023,1,0,24.74,1.5,19.17,0
30-09-2023,2,0,24.44,1.61,18.98,0
30-09-2023,3,0,24.26,1.88,18.8,0
30-09-2023,4,0,24.16,2.24,18.68,0
30-09-2023,5,0.4,24.16,2.84,18.62,0.4
30-09-2023,6,4.8,24.57,3.79,18.8,4.8
30-09-2023,7,153.6,25.29,4.44,19.29,153.6
30-09-2023,8,423.1,26.44,4.23,19.9,423.1
30-09-2023,9,469.3,27.65,3.98,20.2,469.3
30-09-2023,10,651.4,28.61,3.51,20.45,651.4
30-09-2023,11,1111,29.12,2.92,20.51,1111
30-09-2023,12,1115.1,29.35,2.5,20.32,1115.1
30-09-2023,13,1060.3,29.28,2.24,20.2,1060.3
30-09-2023,14,966.4,29.12,1.86,20.39,966.4
30-09-2023,15,600,28.72,1.63,20.32,600
30-09-2023,16,321.1,28.05,1.59,19.71,321.1
30-09-2023,17,151.3,27.2,0.98,20.39,151.3
30-09-2023,18,8.5,26.66,0.94,19.9,8.5
30-09-2023,19,0.8,26.03,1.26,19.96,0.8
30-09-2023,20,0,25.48,1.52,19.9,0
30-09-2023,21,0,25.12,1.65,19.71,0
30-09-2023,22,0,24.87,1.72,19.53,0
30-09-2023,23,0,24.65,1.77,19.35,0
01-10-2023,0,0,24.46,1.72,19.23,0
01-10-2023,1,0,24.29,1.57,19.1,0
01-10-2023,2,0,24.17,1.44,18.92,0
01-10-2023,3,0,24.06,1.46,18.86,0
01-10-2023,4,0,23.93,1.54,18.74,0
01-10-2023,5,0.5,23.79,1.68,18.62,0.5
01-10-2023,6,1.4,24.37,2.12,19.1,1.4
01-10-2023,7,84.3,25.04,3.09,19.47,84.3
01-10-2023,8,400.6,25.73,3.26,20.02,400.6
01-10-2023,9,641,26.49,3.17,20.39,641
01-10-2023,10,828,26.94,2.87,20.45,828
01-10-2023,11,1025,27.34,2.42,20.2,1025
01-10-2023,12,1026.8,27.54,1.94,19.9,1026.8
01-10-2023,13,1053,27.53,1.58,19.65,1053
01-10-2023,14,860.5,27.44,1.58,19.59,860.5
01-10-2023,15,555.2,27.23,1.6,19.78,555.2
01-10-2023,16,296.9,26.81,1.5,19.78,296.9
01-10-2023,17,184.7,25.94,1.32,19.71,184.7
01-10-2023,18,8.9,25.34,1.49,19.35,8.9
01-10-2023,19,0.8,24.95,1.71,19.23,0.8
01-10-2023,20,0,24.63,1.85,19.04,0
01-10-2023,21,0,24.43,1.88,18.8,0
01-10-2023,22,0,24.22,1.84,18.68,0
01-10-2023,23,0,24.07,1.8,18.55,0
02-10-2023,0,0,23.89,1.84,18.49,0
02-10-2023,1,0,23.79,1.92,18.43,0
02-10-2023,2,0,23.63,2.04,18.37,0
02-10-2023,3,0,23.52,2.08,18.37,0
02-10-2023,4,0,23.42,2.02,18.25,0
02-10-2023,5,0.5,23.4,1.8,18.25,0.5
02-10-2023,6,2.9,24.08,1.54,18.74,2.9
02-10-2023,7,118.9,24.87,1.74,19.23,118.9
02-10-2023,8,337.2,25.71,1.88,19.59,337.2
02-10-2023,9,534.8,26.58,1.97,19.59,534.8
02-10-2023,10,585.8,27.36,2.04,19.53,585.8
02-10-2023,11,780.9,28.03,2.11,19.65,780.9
02-10-2023,12,900.4,28.55,2.26,19.96,900.4
02-10-2023,13,885.5,28.73,2.39,20.32,885.5
02-10-2023,14,512.2,28.62,2.09,20.81,512.2
02-10-2023,15,306,28.42,1.88,21.12,306
02-10-2023,16,227.9,27.83,1.9,20.94,227.9
02-10-2023,17,63.3,26.87,1.39,21.3,63.3
02-10-2023,18,2.7,26.35,1.48,20.81,2.7
02-10-2023,19,0.6,26.05,1.51,20.57,0.6
02-10-2023,20,0,25.76,1.54,20.39,0
02-10-2023,21,0,25.49,1.6,20.14,0
02-10-2023,22,0,25.21,1.72,19.96,0
02-10-2023,23,0,24.97,1.98,19.71,0
03-10-2023,0,0,24.75,2.42,19.53,0
03-10-2023,1,0,24.55,3.02,19.35,0
03-10-2023,2,0,24.37,3.63,19.1,0
03-10-2023,3,0,24.26,4,18.92,0
03-10-2023,4,0,24.15,4.26,18.8,0
03-10-2023,5,0.5,23.99,4.12,18.62,0.5
03-10-2023,6,5,24.37,4.52,18.92,5
03-10-2023,7,142.7,25.55,4.94,19.71,142.7
03-10-2023,8,323.4,27.04,5.55,20.51,323.4
03-10-2023,9,620.2,28.44,5.68,21,620.2
03-10-2023,10,812.6,29.39,5.64,20.87,812.6
03-10-2023,11,919.4,29.83,5.5,20.39,919.4
03-10-2023,12,968.4,29.96,5.42,20.08,968.4
03-10-2023,13,933.4,29.9,5.37,20.02,933.4
03-10-2023,14,502.9,29.46,4.85,20.2,502.9
03-10-2023,15,388.2,28.94,4.48,20.2,388.2
03-10-2023,16,213.4,27.83,3.68,20.14,213.4
03-10-2023,17,101.7,26.29,2.63,19.96,101.7
03-10-2023,18,14.8,25.34,2.6,19.17,14.8
03-10-2023,19,0.6,24.89,2.6,18.62,0.6
03-10-2023,20,0,24.52,2.68,18.19,0
03-10-2023,21,0,24.23,2.76,17.94,0
03-10-2023,22,0,24.05,2.83,17.82,0
03-10-2023,23,0,23.93,2.92,17.76,0
04-10-2023,0,0,23.79,2.97,17.76,0
04-10-2023,1,0,23.66,2.95,17.76,0
04-10-2023,2,0,23.51,2.86,17.7,0
